bls_code,name,product_category_id,price,protein,fat,carbohydrate,fiber,total_sugar,saturated_fat,kilocalories,kilocalories_with_fiber
E500000,"Паста из цельнозерновой муки, сухая",22,111,13400,2500,60600,11500,728,364,323,345
R258500,Сладкий перец зеленый,15,111,3771,761,23314,1574,22148,198,117,120
C148000,Перловая крупа,22,111,10399,1360,70960,4600,2200,251,342,351
F203900,Персик консервированный с жидкостью,18,111,410,59,18537,936,18162,6,78,80
F203101,Персик сырой целый,16,111,699,101,8179,1564,7529,9,37,40
F203800,Персиковое варенье,18,111,280,41,66307,626,66053,3,271,272
F203600,Персиковый сок,1,111,694,89,9476,0,8834,8,43,43
D630400,Песочное печенье,28,111,8147,11000,74690,3330,47384,6827,434,441
D730700,Песочное сырное печенье,28,111,15539,44469,28036,1055,294,19927,571,573
D710000,Печенье из бисквитного теста,28,111,11755,7043,73926,1008,35777,2013,410,412
R456000,Пищевые дрожжи,52,111,16700,1200,1100,6900,132,162,83,96
F402400,Плоды шиповника сушеные,18,111,5783,964,26024,38072,26024,58,153,226
Q320000,Подсолнечное масло,44,111,0,100000,0,0,0,10679,884,884
M400500,Полутвердый сыр  не менее 40% жирности  ,47,111,26236,23000,0,0,0,14699,313,313
M400600,Полутвердый сыр  не менее 45% жирности  ,47,111,25250,27000,0,0,0,17593,344,344
M400700,Полутвердый сыр  не менее 50% жирности  ,47,111,21875,30000,0,0,0,18200,356,356
M6A2600,Полутвердый сыр из козьего молока не менее  45% жирности   ,47,111,25250,27000,0,0,0,17593,344,344
M6A3700,Полутвердый сыр из козьего молока не менее  50% жирности   ,47,111,21880,33630,2330,0,0,22376,400,400
N120000,Природная минеральная вода,8,111,0,0,0,0,0,0,0,0
N128000,Природная минеральная вода негазированная,8,111,0,0,0,0,0,0,0,0
N130000,Природная минеральная вода с низким содержанием минералов,8,111,0,0,0,0,0,0,0,0
N138000,Природная минеральная негазированная вода с низким содержанием минералов,8,111,0,0,0,0,0,0,0,0
C330000,Просо сырое,22,111,10603,3900,68760,3900,1605,886,357,364
M121200,"Простокваша (густая) 1,5% жирности",41,111,3400,1501,4100,0,4100,910,46,46
M221200,"Простокваша (густая) 1,5% жирности с фруктами",41,111,2942,1259,14294,921,14173,757,83,85
M121300,"Простокваша (густая) 3,5% жирности",41,111,3399,3501,4000,0,4000,2124,64,64
M221300,"Простокваша (густая) 3,5% жирности с фруктами",41,111,2942,2919,14211,921,14090,1767,97,99
M223000,Простокваша (густая) с мюсли,41,111,4376,3827,17036,1465,9702,1835,123,126
M221000,Простокваша (густая) с фруктами,41,111,2942,2919,14211,921,14090,1767,97,99
M120000,Простокваша (жидкая),41,111,3399,3501,4000,0,4000,2124,64,64
M120100,Простокваша (жидкая) <1% жирности,41,111,3400,99,4200,0,4200,60,34,34
M120200,"Простокваша (жидкая) 1,5% жирности",41,111,3400,1501,4100,0,4100,910,46,46
M120300,"Простокваша (жидкая) 3,5% жирности",41,111,3399,3501,4000,0,4000,2124,64,64
M123300,"Кефир 3,5% жирности",41,111,3399,3501,4700,0,4700,2124,66,66
C117000,Пшеничная крупа,22,111,10302,790,68960,7100,828,116,329,342
B782100,Пшеничная лепешка,25,111,8200,1199,48843,3190,1420,301,242,248
C210000,Пшеничная мука,22,111,10040,980,72341,2750,735,143,343,348
C211000,Пшеничная мука грубого помола,22,111,11410,2360,59530,10000,715,344,309,328
C212000,Пшеничная мука грубого помола сорт 1700 ,22,111,12101,2100,60900,9200,731,306,315,332
C212032,Пшеничная мука грубого помола сорт 1700 вареный ,22,111,4334,713,21813,3295,268,104,112,119
C212022,Пшеничная мука грубого помола сорт 1700 приготовленный,22,111,1931,318,9720,1468,119,45,50,53
C217000,Пшеничные отруби,22,111,16002,4650,17700,45090,1920,783,178,264
C113000,Пшеничные хлопья,22,111,11444,1833,59550,13260,706,311,305,330
C216000,Пшеничный крахмал,38,111,431,140,86100,1200,0,20,353,355
B880200,Пшеничный хлеб грубого помола на дрожжах,25,111,7388,1345,48164,2676,1174,330,238,243
C332000,Пшено ,22,111,10603,3900,68760,3900,1450,997,357,364
R421000,Разрыхлители,52,111,5200,1,37800,0,0,0,175,175
Q180000,Рапсовое масло ,44,111,0,100000,0,0,0,9157,884,884
G682100,Редис красный сырой,15,111,1050,150,2390,1200,1984,33,16,18
G680101,Редька сырая целая,15,111,798,114,1816,912,1508,25,12,14
C220000,Ржаная мука,22,111,6940,1030,71030,6500,6520,145,326,338
C224000,Ржаная мука (сорт <650),22,111,6940,1030,71030,6500,6520,145,326,338
C223000,Ржаная мука (сорты 650-1800) ,22,111,6940,1030,71030,6500,6520,145,326,338
C221000,Ржаная мука грубого помола,22,111,9504,1700,60730,13400,1033,238,300,326
C220022,Ржаная мука приготовленная,22,111,2484,349,25419,2326,2333,48,116,121
C223300,Ржаная мука сорт 1150,22,111,8955,1300,67810,7700,6221,183,323,338
C223400,Ржаная мука сорт 1370,22,111,8912,1420,66720,9000,6121,199,320,337
C223500,Ржаная мука сорт 1590,22,111,9190,1400,64070,10070,5878,196,310,329
C223600,Ржаная мука сорт 1740,22,111,9000,1450,63050,10710,5786,203,305,326
C223100,Ржаная мука сорт 815,22,111,6940,1030,71030,6500,6515,145,326,338
C223200,Ржаная мука сорт 997,22,111,7392,1140,67930,6900,6232,161,316,329
C3A1000,Рис круглозерновой ,22,111,7360,620,77730,2100,306,123,351,355
C559000,Рисовая лапша,23,111,3440,560,83240,1600,499,0,357,360
C453000,Рисовая мука,22,111,7198,650,79620,2000,240,154,358,362
C456000,Рисовый крахмал,38,111,819,0,85000,200,0,0,348,349
B750200,Рисовый хлеб,25,111,7706,1655,47279,3547,1031,387,238,245
T000100,Рыба сырая,30,111,19320,2390,0,0,0,719,100,100
T501200,Сазан глубокой заморозки,30,111,18000,4800,0,0,0,1014,116,116
T501100,Сазан нарезанный сырой,30,111,18000,4800,0,0,0,1038,116,116
G103101,Салат Айсберг сырой целый,15,111,800,160,1256,856,1247,25,11,12
Q340000,Сафлоровое масло,44,111,0,100000,0,0,0,9467,884,884
S111000,Сахар белый,27,111,0,0,99800,0,99800,0,405,405
S172000,Сахар для диабетиков,27,111,0,0,99000,0,0,0,236,236
S111100,Сахарная пудра ,27,111,0,0,99800,0,99800,0,405,405
G613101,Свекла сырая целая,15,111,1193,78,6536,1950,6536,14,33,36
G613600,Свекольный сок,1,111,1080,83,7990,260,6601,15,38,39
M182100,Сгущенное молоко <1% жирности,12,111,8200,199,12100,0,12100,120,85,85
M182500,Сгущенное молоко 10% жирности,12,111,8760,10101,12540,0,22572,5993,177,177
M184500,Сгущенное молоко 10% жирности ультрапастеризованное (УВТ),12,111,8760,10101,12540,0,12540,6421,177,177
M181000,Сгущенное молоко с сахаром,12,111,8200,8800,51900,0,51900,5135,323,323
M181100,Сгущенное молоко с сахаром <1% жирности,12,111,10000,199,56700,0,56700,121,273,273
M181500,Сгущенное молоко с сахаром <10% жирности,12,111,8022,10000,54294,0,54294,6066,343,343
T102400,Селедка (атлантическая) соленая,30,111,19800,15400,0,0,0,2827,216,216
G660101,Сельдерей сырой целый,15,111,1132,241,1643,3066,1328,51,14,20
H450100,Семена мака сырые,19,111,23821,42200,4200,20500,84,4850,487,526
H430100,Семена подсолнечника сырые,19,111,26110,26300,34740,5800,3450,3022,480,491
G541100,Сладкий перец зеленый сырой,15,111,1080,240,2910,2000,2764,44,19,22
G543100,Сладкий перец красный сырой,15,111,1300,500,6400,3591,6400,91,37,43
G540100,Сладкий перец сырой,15,111,1080,240,2910,2000,2452,44,19,23
G540101,Сладкий перец сырой целый,15,111,907,202,2444,1680,2059,37,16,19
F221100,Слива круглая сырая,16,111,600,170,10160,1700,7826,21,45,48
F223101,Слива синяя целая,16,111,564,94,8272,2162,8272,16,41,45
M170800,Сливки 30% жирности,39,111,2360,31701,3270,0,3270,18998,303,303
M171500,Сливки для кофе 10% жирности,39,111,3100,10500,4050,0,4050,6655,122,122
M171700,Сливки для кофе 20% жирности,39,111,2800,20001,3600,0,3600,12134,203,203
M171800,Сливки для кофе 30% жирности,39,111,2600,28000,3300,0,3300,16987,271,271
F220800,Сливовое варенье,18,111,320,63,59600,626,27855,7,244,245
S161000,Сливовый джем,18,111,940,220,48010,2460,44460,39,195,200
Q630000,"Сливочное масло 82,5% жирности",46,111,590,82501,1109,0,600,55651,736,736
Q611000,Сливочное масло высшего качества,46,111,670,83199,600,0,570,53348,741,741
Q640000,Сливочное масло полужирное,46,111,4000,39799,3500,0,3500,25460,382,382
Q6A4000,Сливочное масло соленое,46,111,194,77576,388,0,0,29349,688,688
M710700,Сливочный сыр не менее  50% жирности   ,47,111,9740,16609,2721,0,2730,11032,199,199
M710800,Сливочный сыр не менее  60% жирности   ,47,111,11300,31501,2560,0,2560,19694,337,337
M710900,Сливочный сыр не менее  70% жирности   ,47,111,9600,36900,2500,0,2500,22386,377,377
F220400,Сливы сушеные (чернослив),18,111,2300,600,47370,17750,40800,71,218,252
M172500,Сметана 10% жирности,39,111,2800,17999,3470,0,3470,10781,187,187
M172700,Сметана 20% жирности,39,111,2800,20001,3400,0,3400,12134,204,204
M172800,Сметана 30% жирности,39,111,2500,30001,2400,0,2400,18201,288,288
F320100,Смородина сырая,16,111,1130,200,4780,3500,4780,43,33,40
G750100,Соевые бобы сырые,20,111,11901,5899,10400,3000,3967,703,144,149
H840100,Соевый соус,33,111,10310,5172,6176,4728,6126,714,113,122
H840200,Соевый соус белый,33,111,10310,5172,6176,4728,6126,714,113,122
G221100,Стебель сельдерея сырой,15,111,1200,200,2180,2547,1848,35,17,21
G711100,Стручковая спаржевая фасоль сырая,20,111,2390,240,5090,1890,2171,70,33,37
G712100,Стручковая фасоль зеленая сырая,20,111,2390,240,5090,1890,2171,70,33,37
T603200,Судак глубокой заморозки,30,111,19200,730,0,0,0,143,84,84
T603100,Судак филе сырой,30,111,19200,730,0,0,0,157,84,84
D030000,Сухари,25,111,9903,4300,73110,5200,588,625,375,385
D082000,Сухари из цельнозерновой муки для диабетиков,25,111,20176,8876,46542,13044,7123,1124,349,374
D039000,"Сухари, без глютена",25,111,8284,15405,60077,6442,19830,2102,414,426
G002400,Морская капуста сушеная,30,111,11490,3830,53265,8891,52734,1693,301,318
G002400/1,Морская капуста вареная,30,111,11490,3830,53265,8891,52734,1693,301,318
R422200,Сухие дрожжи,38,111,35600,1500,32000,21000,3840,202,288,328
G490400,Сушеный чеснок,17,111,15769,313,70348,4718,21042,65,354,363
M402500,Сыр Гауда  не менее 40% жирности  ,47,111,24700,22301,0,0,0,13529,300,300
M402600,Сыр Гауда  не менее 45% жирности  ,47,111,21860,30795,0,0,0,19899,364,364
M602500,Сыр Камамбер не менее  40% жирности   ,47,111,22500,20501,0,0,0,11778,273,273
M602600,Сыр Камамбер не менее  45% жирности   ,47,111,21000,22301,102,0,102,13361,284,284
M306500,Сыр Пармезан  не менее 40% жирности  ,47,111,34300,30200,0,0,0,18322,407,407
M306600,Сыр Пармезан  не менее 45% жирности  ,47,111,30680,30564,0,0,0,14559,396,396
M401500,Сыр Эдам  не менее 40% жирности  ,47,111,26100,23400,0,0,0,15200,316,316
M401600,Сыр Эдам  не менее 45% жирности  ,47,111,24800,28300,0,0,0,18071,354,354
M401700,Сыр Эдам  не менее 50% жирности  ,47,111,22000,29601,0,0,0,17958,353,353
M3C2500,Сыр Эмменталь  не менее 40% жирности  ,47,111,27655,29849,0,0,0,20156,378,378
M3B1700,Сыр Эмменталь  не менее 50% жирности  ,47,111,26900,32101,0,0,0,18132,396,396
M304600,Сыр Эмменталь не менее 45% жирности  ,47,111,27655,29849,0,0,0,18947,378,378
D074000,Сырое дрожжевое тесто ,36,111,7355,10549,44531,1627,7636,6262,304,307
M713100,Творог <10% жирности   ,42,111,13500,249,3200,0,3200,151,73,73
M713200,Творог не менее  10% жирности   ,42,111,11600,1999,3800,0,3800,1213,83,83
M713300,Творог не менее  20% жирности   ,42,111,12500,5100,2700,0,2700,2887,109,109
M7C3100,Творог обезжиренный,42,111,13500,249,3200,0,3200,151,73,73
U301000,Телятина нежирная сырая,29,111,21200,1010,0,0,0,365,95,95
D421000,Песочное тесто сырое,36,111,4602,24014,43288,510,23059,14603,407,408
R160000,Томатная паста,17,111,2300,501,5550,2800,5382,90,38,43
R161200,Томатное пюре,17,111,4500,200,12900,2800,12511,36,74,79
G560600,Томатный сок,1,111,760,45,2960,132,2861,8,17,17
G560101,Помидоры сырые целые,15,111,903,200,2470,1235,2394,36,17,19
B783012,Тортилья из пшеничной муки,25,111,8850,7850,53020,1200,1330,2838,321,323
G581101,Тыква сырая целая,15,111,770,91,3213,1512,2701,27,17,20
H310100,Тыквенные семечки сушеные,19,111,35490,46340,2740,8660,1340,8868,565,581
G065400,Укроп сушеный,15,111,17880,3867,36730,25614,36365,710,260,309
G065100,Укроп сырой,15,111,3700,800,8000,5300,7920,147,55,65
R120000,Уксус,52,111,400,0,600,0,600,0,19,19
R554000,Уксусная кислота,52,111,0,0,0,0,0,0,284,284
U060100,Фарш сырой,29,111,15399,15338,995,228,821,6437,202,203
H739400,Фасоль белая сушеная,20,111,20900,1600,34670,23240,2030,193,241,285
G710200,Фасоль зеленая глубокой заморозки,20,111,2629,264,5318,2079,2269,77,35,39
H735400,Фасоль кидни сушеная,20,111,24237,1535,40029,23359,1201,186,275,320
M012200,Фета,47,111,15680,24090,810,0,0,16060,284,284
U210200,Филе говядины глубокой заморозки,29,111,21200,4000,0,0,0,1755,121,121
U111100,Филе говядины нежирное сырое,29,111,21200,4000,0,0,0,1755,121,121
U110100,Филе говядины сырое,29,111,21200,4000,0,0,0,1755,121,121
V416200,Филе куриной грудки глубокой заморозки,29,111,23550,700,0,0,0,211,102,102
V416100,Филе куриной грудки сырое,29,111,23550,700,0,0,0,211,102,102
F504400,Финик сушеный,18,111,1850,530,65070,8700,63724,125,278,295
T209200,Хек глубокой заморозки,30,111,17200,2760,0,0,0,637,94,94
T209100,Хек нарезанный сырой,30,111,17200,2760,0,0,0,591,94,94
B100000,Цельнозерновой хлеб,25,111,7295,1201,38747,8115,2529,168,198,213
B101000,Цельнозерновой хлеб,25,111,7295,1201,38747,8115,2529,168,198,213
C510000,Хлопья для завтрака,24,111,11047,6839,58972,9765,10083,902,346,364
C393000,Хлопья зерновой смеси,24,111,10542,2921,61322,11630,1165,515,318,340
C512500,"Хрустящие мюсли, обогащенные 7 витаминами и кальцием",24,111,8442,8269,63543,7403,24014,2669,366,380
B629000,Хрустящие хлебцы без глютена,25,111,10131,1412,55902,15742,8681,286,281,311
F507101,Хурма сырая целая,16,111,544,255,13600,2151,13600,53,60,64
G311101,Цветная капуста сырая целая,15,111,1525,174,1451,1798,1257,30,14,17
C201000,Цельнозерновая мука,22,111,11410,2360,59530,10000,715,344,309,328
N540900,Цикорий кофейный порошок,9,111,6800,1600,68400,8000,3420,301,321,336
G582101,Цуккини сырой целый,15,111,1726,244,1917,935,1584,58,18,19
N710900,Чай фруктовый сухой,50,111,12000,4200,65000,10000,65000,991,353,372
F211101,Черешня сырая целая,16,111,792,273,11678,1672,10258,61,53,56
F323200,Черная смородина замороженная,16,111,1337,230,6383,3656,6383,29,42,49
F323101,Черная смородина сырая целая,16,111,1254,216,5988,3430,5988,28,39,46
F304200,Черника глубокой заморозки,16,111,627,627,6322,5121,6316,37,38,48
F304101,Черника сырая целиком,16,111,588,588,5929,4802,5923,35,36,45
F304800,Черничное варенье,18,111,270,221,63580,1805,55800,14,263,266
B200000,Черный хлеб,25,111,7380,970,45850,6100,1377,263,225,236
B201000,Черный хлеб,25,111,7380,970,45850,6100,1377,263,225,236
B291000,Мультизерновой хлеб,25,111,7912,1426,48990,6165,1250,337,244,255
B221000,Ржаной хлеб ,25,111,5360,1234,40747,7220,3810,122,198,212
B251000,Ржано-пшеничный хлеб,25,111,8610,1514,46266,4280,1558,142,236,245
B271000,Ржано-пшеничный хлеб,25,111,7380,970,45850,6100,1260,256,225,236
N630900,Черный чай сухой,50,111,24530,4360,800,55830,872,815,141,248
G490101,Чеснок сырой целый,15,111,5264,104,24717,1575,7393,21,123,126
H725100,Чечевица спелая сушеная,20,111,23357,1601,40550,17020,1118,235,275,307
G210200,Шпинат глубокой заморозки,15,111,2953,315,608,1889,464,38,20,23
G210101,Шпинат сырой целый,15,111,2392,255,519,1530,397,31,16,19
G263100,Щавель сырой,15,111,3190,360,1161,1950,723,36,22,26
F120400,Яблоко очищенное сушеное,18,111,1530,2040,63238,9179,59154,479,282,300
F110101,Яблоко сырое целое,16,111,313,45,13202,1849,12109,18,56,59
F015600,Яблочный / морковный фруктовый сок,1,111,389,65,9438,0,8377,18,41,41
F115600,Яблочный сок,1,111,70,40,11060,0,10500,16,47,47
F110600,Яблочный сок (без добавления сахара),1,111,316,41,13357,0,12251,17,57,57
F112600,"Яблочный сок, обогащенный витамином С",1,111,316,41,13357,0,11718,17,57,57
C147000,Ячневая крупа,22,111,8502,1500,66110,10300,2049,277,316,336
24198720,Фарш куриный,29,111,27140,10310,0,0,0,2647,201,
24207000,Фарш индейки,29,111,27140,10310,0,0,0,2647,201,
43101150,Семечки тыквенные несоленые,19,111,29840,49050,14710,6500,1290,8544,574,
43102000,Семечки подсолнечника простые несоленые,19,111,19330,49800,24070,11100,2730,5219,582,
43103000,Семена кунжута,19,111,20450,61210,11730,11600,480,9055,631,
43104000,Семя льняное,19,111,18290,42160,28880,27300,1550,3663,534,
51180010,Бублик,25,111,10560,1320,52380,1600,8430,360,264,
54304000,Крекеры с сыром,28,111,10930,22740,59420,2300,4530,5288,489,
54304150,"Крекеры с сыром, цельнозерновый",28,111,9620,16030,57290,6400,0,3206,412,
54305010,"Крекеры, хрустящие хлебцы",28,111,7900,1300,82200,16500,1070,145,366,
54326000,"Крекеры, мультизерновые",28,111,7100,20400,67600,3500,12000,3300,482,
54340100,"Крекеры без глютена, простые",28,111,11250,15840,66300,10200,860,2069,453,
12-555,"Йогурт по-гречески, без добавок",40,111,5700,10200,4800,0,4500,6750,133,
12-379,"Йогурт обезжиренный, простой",40,111,4800,1000,7800,,7500,660,57,
SK01,"Молоко сгущенное
с сахаром нежирное",12,111,7500,200,56800,0,56800,100,259,
SK02,"Молоко «Славянское»
сгущенное
с сахаром
нежирное",12,111,7400,200,57100,0,57100,100,261,
SK03,"Молоко сгущенное
стерилизованное нежирное",12,111,6600,200,10800,0,10800,100,71,
SK04,Молоко сухое нежирное,9,111,33200,1000,52600,0,52600,600,362,
SK05,"Молоко пастеризованное,1,5°/о жирности",12,111,3000,1500,4800,0,4800,1000,45,
SK06,"Молоко пастеризованное,2,5°/о жирности",12,111,2900,2500,4800,0,4800,1700,54,
SK07,"Молоко стерилизованное,1,5°/о жирности",12,111,3000,1500,4800,0,4800,1000,45,
SK08,"Молоко стерилизованное,2,5% жирности",12,111,2900,2500,4800,0,4800,1500,54,
SK11,"Йогурт1,5°/о жирности",40,111,4100,1500,5900,0,5900,900,57,
SK12,"Йогурт плодово-ягодный,1,5% жирности",40,111,4000,1500,14300,0,14300,900,90,
SK13,"Кефир2,5°/о жирности",41,111,2900,2500,4000,0,4000,1500,53,
SK14,"Кумыс
из кобыльего
молока",41,111,2100,1900,5000,0,5000,700,50,
SK15,"Напиток кисломолочный,«Бифидин»
2,5°/о жирности",41,111,3400,2500,5500,0,5500,1500,61,
SK16,"Напиток «Снежок»2,5°/о жирности",41,111,2700,2500,10800,0,10800,1500,79,
SK17,"Напиток«Юбилейный»,2,5°/о жирности",41,111,2900,2500,4100,0,4100,1500,53,
SK19,"Продукт кисломолочный «Тонус»2,5°/о жирн",41,111,2900,2500,4100,0,4100,1500,53,
SK21,"Простокваша«Цитрусовая»2,5°/о жирности",41,111,2600,2500,10100,0,10100,1500,76,
SK22,"Ряженка2,5°/о жирности",41,111,2900,2500,4200,0,4200,1500,54,
SK23,"Творог«Столовый»2,0°/о жирности",42,111,20000,2000,3000,0,3000,1200,114,
SK24,Молоко «Дружба»сгущенное с сахаром,12,111,7400,2500,54600,0,54600,1500,271,
SK29,"Молоко пастеризованное3,2°/о жирности",12,111,2900,3200,4700,0,4700,2000,60,
SK30,"Молоко стерилизованное3,2°/о жирности",12,111,3000,3200,4700,0,4700,2000,60,
SK31,"Молоко пастеризованное 3,5% жирности",12,111,2900,3500,4700,0,4700,2200,62,
SK32,"Молоко стерилизованное 3,5°/о жирности",12,111,3000,3500,4700,0,4700,2200,63,
SK33,"Молоко топленое 4,0°/о жирности",12,111,2900,4000,4700,0,4700,2500,67,
SK34,"Сливки пастеризованные 8,0°/о жирности",39,111,2800,8000,4500,0,4500,5000,102,
SK35,"Сливки пастеризованные 10,0% жирности",39,111,2700,10000,4500,0,4500,5800,119,
SK36,"Сливки стерилизованные10,0°/о жирности",39,111,2700,10000,4400,0,4400,5800,119,
SK37,"Ацидофилин3,2% жирности",41,111,2900,3200,3800,0,3800,2000,59,
SK38,"Ацидофилин сладкий 3,2°/о жирности",41,111,2300,3200,8600,0,8600,2000,77,
SK39,"Йогурт 3,2°/о жирности",40,111,5000,3200,3500,0,3500,2000,68,
SK40,"Йогурт сладкий 3,2°/о жирности",40,111,5000,3200,8500,0,8500,2000,87,
SK41,"Йогурт6,0°/о жирности",40,111,5000,6000,3500,0,3500,3800,92,
SK42,"Йогурт сладкий 6,0°/о жирности",40,111,5000,6000,8500,0,8500,3800,112,
SK43,"Кефир 3,2% жирности",41,111,2900,3200,4000,0,4000,2000,59,
SK44,"Простокваша 3,2°/о жирности",41,111,2900,3200,4100,0,4100,2000,59,
SK45,"Простокваша оменниковская»4,0°/о жирности",41,111,2800,4000,4100,0,4100,2500,66,
SK46,"Ряженка 4,0°/о жирности",41,111,2800,4000,4200,0,4200,2500,67,
SK47,"Ряженка 6,0°/о жирности",41,111,3000,6000,4100,0,4100,3800,85,
SK48,"Сметана 10,0°/о жирности",39,111,2700,10000,3900,0,3900,5800,119,
SK49,"Сметана «Домашняя» 10,0°/о жирности",39,111,3800,10000,5600,0,5600,5800,130,
SK50,"Творог мягкий диетический 4,0°/о жирности",42,111,21000,4000,3000,0,3000,2500,136,
SK51,"Творог мягкий диетический, плодово-ягодный,
4,0°/о жирности",42,111,17300,4000,13700,0,13700,2500,164,
SK52,"Сыр домашний 4,0°/о жирности",47,111,17000,4000,1500,0,1500,2500,113,
SK53,"Паста ацидофильная 4,0°/о жирности",43,111,5500,4000,20500,0,20500,2400,143,
SK54,"-Творог «Крестьянский» 5,0°/о жирности",42,111,21000,5000,3000,0,3000,2900,145,
SK55,"Крем творожный с ванилином 5,0% жирности",43,111,11000,5000,19200,0,19200,2900,167,
SK56,"Паста ацидофильная,сладкая 8,0% жирности",43,111,6600,8000,25500,0,25500,5000,203,
SK57,"Сырки и масса творожная«Цитрон» сладкие,
8,0°/о жирности",42,111,15000,8000,11500,0,11500,5000,181,
SK58,"Творог полужирный 9,0°/о жирности",42,111,18000,9000,3000,0,3000,5200,169,
SK59,"Молоко сгущенное с сахаром,5,0°/о жирности",12,111,7100,5000,55200,0,55200,2900,295,
SK60,"Молоко сгущенное с сахаром 8,5% жирности",12,111,7200,8500,55500,0,55500,5200,328,
SK61,"Молоко сгущенное стерилизованное
7,8% жирности",12,111,6400,7800,10300,0,10300,4800,138,
SK70,"Сливки пастеризованные 20,0°/о жирности",39,111,2500,20000,4000,0,4000,11900,207,
SK71,"Сливки пастеризованные 35,0°/о жирности",39,111,2200,35000,3200,0,3200,20800,337,
SK72,"Сливки стерилизованные25,0°/о жирности",39,111,2400,25000,3900,0,3900,14900,251,
SK73,"Сметана15,0°/о жирности",39,111,2600,15000,3600,0,3600,9000,162,
SK74,"Сметана 20,0°/о жирности",39,111,2500,20000,3400,0,3400,11900,206,
SK75,"Сметана 25,0°/о жирности",39,111,2400,25000,3200,0,3200,14900,250,
SK76,"Сметана 30,0% жирности",39,111,2300,30000,3100,0,3100,17900,293,
SK77,"Творог мягкий диетический 11,0°/о жирности",42,111,16000,11000,3000,0,3000,6600,178,
SK78,"Творог жирный 18,0°/о жирности",42,111,15000,18000,2800,0,2800,10800,236,
SK82,"Сырки творожные детские,23,0°/о жирности",42,111,9100,23000,18500,0,18500,13700,319,
SK87,"Сливки сгущенные с сахаром,19,0% жирности",39,111,8000,19000,47000,0,47000,11500,392,
SK88,"Сливки сухие 42,0°/о жирности",9,111,19000,42000,30200,0,30200,25400,577,
SK107,Латвийский сыр,47,111,23300,24100,0,0,0,13800,316,
SK108,Костромской сыр,47,111,25600,26100,0,0,0,12200,343,
SK109,Пошехонский сыр,47,111,26000,26100,0,0,0,13900,344,
SK111,"Голландский
(брусковый) сыр",47,111,26300,26600,0,0,0,15300,350,
SK113,Российский сыр,47,111,23200,29500,0,0,0,15900,364,
SK115,"Голландский
(круглый) сыр",47,111,23700,30400,0,0,0,17400,375,
SK118,Швейцарский сыр,47,111,24600,31600,0,0,0,16700,391,
SK120,Литовский сыр ,47,111,27900,14700,0,0,0,7700,250,
SK121,Адыгейский сыр,47,111,19800,19800,1500,0,1500,12700,264,
SK122,Рокфор сыр,47,111,20500,27500,0,0,0,15300,335,
SK123,Русский камамбер сыр,47,111,15300,28800,100,0,100,18300,324,
SK125,Брынза (из коровьего молока) сыр,47,111,22100,19200,400,0,400,12300,262,
SK126,Сулуryни,47,111,20500,22000,400,0,400,14000,286,
SK127,Костромской сыр,47,111,21400,19200,2300,0,2100,11000,269,
SK135,Яйцо целое куриное,32,111,12700,11500,700,0,700,3000,157,
SK136,"Яйцо отварное
по 1-310 куриное",32,111,12700,11500,700,0,700,3000,157,
SK149,Говядина 1 кат.,29,111,18600,16000,0,0,0,7100,218,
SK150,Говядина 2 кат.,29,111,20000,9800,0,0,0,4300,168,
SK151,Конина 1 кат.,29,111,19500,9900,0,0,0,3400,167,
SK152,Конина 2 кат.,29,111,20900,4100,0,0,0,1400,121,
SK159,Телятина 1 кат.,29,111,19700,2000,0,0,0,800,97,
SK160,Телятина 2 кат.,29,111,20400,900,0,0,0,400,89,
SK161,"Бройлеры
(цыплята) 1 кат.",29,111,18700,16100,0,0,0,4100,220,
SK162,"Бройлеры
(цыплята) 2 кат.",29,111,19700,11200,0,0,0,3000,180,
SK165,Индейки 1 кат.,29,111,19500,22000,0,0,0,5800,276,
SK166,Индейки 2 кат.,29,111,21600,12000,0,0,0,2900,194,
SK167,Куры 1 кат.,29,111,18200,18400,0,0,0,4400,238,
SK168,Куры 2 кат.,29,111,21200,8200,0,0,0,2100,159,
SK490,Мука 1 сорта,22,111,11100,1500,67800,5100,1200,300,329,
SK491,Макароны из муки 1 сорта,23,111,11200,1600,68400,3500,2300,300,333,
SK492,Мука высшего сорта,22,111,10300,1100,70600,2600,1000,200,334,
SK493,"Хлеб пшеничный
формовой (Мука высшего сорта)",25,111,7600,800,49200,2500,700,200,235,
SK494,Батон нарезной (Мука высшего сорта),25,111,7500,2900,51400,2600,2900,500,262,
SK500,Рожки к чаю (Мука высшего сорта),26,111,8400,5600,56800,2800,9600,3500,312,
SK501,Баранки сдобные (Мука высшего сорта),25,111,8300,8000,60400,3600,6400,1100,348,
SK502,Сушки простые (Мука высшего сорта),25,111,10700,1200,71200,2800,1000,200,339,
SK503,Сухари сливочные (Мука высшего сорта),25,111,8500,10800,66700,3200,15600,7100,399,
SK505,Печенье затяжное (Мука высшего сорта),28,111,8500,11300,69700,5300,15400,6600,414,
SK569,Хлопья «Геркулес» (овес),22,111,12300,6200,61800,1900,1200,1400,352,
SK574,Крупа рисовая,22,111,7000,1000,74000,400,700,300,333,
SK583,Мука диетическая (гречиха),22,111,13600,1200,71900,12500,1400,200,353,
SK584,Крупа продел (гречиха),22,111,9500,2300,60400,11300,1100,400,300,
SK585,Крупа ядрица (гречиха),22,111,12600,3300,57100,2700,1400,600,308,
